concentration_offset_sigma,profile_mass_chi2,M200_msun,c200_median,c200_candidate,tau_rt_over_rs,M2D_20pc_msun,M2D_90pc_msun,r200_pc,r_s_pc,rho_s_msun_pc3,r_t_pc
5.0,18.191648087404985,70289293.75017217,12.147422301580185,43.10068077275186,0.5,339357.00592115516,1215705.120383472,6207.258282728467,144.01763896621975,0.6665876017499577,72.00881948310987
5.25,10.810614654992515,69872920.98546755,12.153059783865501,45.93943338356766,0.5,359382.364065358,1206909.4303742046,6194.977353680972,134.8509743678486,0.7900058965384623,67.4254871839243
5.5,5.1351151101371535,69502993.22444734,12.158098890334221,48.962735281510525,0.5000000042594539,380144.611440475,1196515.1292390258,6184.025326736024,126.3006507128546,0.9365214857917695,63.1503258943991
5.75,1.4490058851717873,69053895.51248863,12.164255441744466,52.189787851870705,0.5000000000789481,401198.8216258334,1182814.6922571016,6170.677052986916,118.23533505254004,1.1109079179996204,59.11766753560447
6.0,0.010887972182386244,68689352.44801548,12.169284683269636,55.62436304783746,0.5000000001307177,422951.2633258533,1168443.6508958272,6159.799329294696,110.73923352609381,1.3179284265797417,55.36961677752248
6.25,1.8523970576002514e-21,49980933.28335239,12.475232999409219,60.75033339589814,0.6364619421604412,425000.00000086136,1166999.9999994915,5540.362876122196,91.19888840801458,1.670297862508947,58.044621639038304
6.5,8.857143583168219e-22,36203561.26443079,12.793399739908812,66.37216283098452,0.8255086982380652,424999.9999993918,1166999.999999733,4975.696184570372,74.96661209068762,2.1203032442869896,61.885590358301535
6.75,3.6401849773206574e-23,27101962.416187137,13.085982457908981,72.32797960611967,1.0595942068979267,424999.9999999612,1167000.000000224,4517.904047428718,62.46412622102965,2.674590379773903,66.1866262827439
7.0,2.145684423039311e-23,20843075.113015004,13.357097347569011,78.65242027082978,1.351230601855885,424999.99999995675,1167000.0000001618,4139.272529968209,52.627401874159006,3.3565055129038885,71.1117559085314
7.25,7.06162820854401e-23,16433987.530739501,13.607328308689798,85.36362775015219,1.7132735460580257,425000.0000001168,1166999.9999997544,3823.9987457055963,44.796581945860176,4.192284652275178,76.7487988016628
