model_label,model_key,sigma_m_cm2_g,r_s_kpc,rho_0_msun_pc3,t_cross_gyr,viable,n_checkpoints,final_ratio,final_t_gyr,init_ratio,skipped
M1,M1_dark_photon_massive,0.07071067811865475,0.01783810672504081,10.0,inf,False,4,0.6824165617604931,0.0026600947145785656,0.558657415800948,no
M1,M1_dark_photon_massive,0.07071067811865475,0.02121320343559642,10.0,inf,False,4,0.6668499335260075,0.0026607635866931012,0.5379682637603689,no
M1,M1_dark_photon_massive,0.07071067811865475,0.025226892457611432,10.0,inf,False,4,0.6300564111445016,0.0026609866806838254,0.5167685061023886,no
M1,M1_dark_photon_massive,0.07071067811865475,0.029999999999999995,10.0,inf,False,4,0.5951053489027122,0.0026601512246547535,0.4953604991813157,no
M1,M1_dark_photon_massive,0.07071067811865475,0.03567621345008163,10.0,inf,False,4,0.5610364144955161,0.0026609029448624957,0.47405614661498824,no
M1,M1_dark_photon_massive,0.07071067811865475,0.042426406871192826,10.0,inf,False,4,0.5274154813913384,0.002660616737595165,0.45315878316353,no
M1,M1_dark_photon_massive,0.07071067811865475,0.050453784915222843,10.0,inf,False,4,0.5240478551463892,0.0026603102102642955,0.43294635835480116,no
M1,M1_dark_photon_massive,0.07071067811865475,0.05999999999999997,10.0,inf,False,8,0.4572782279004226,0.05320155536030649,0.4136577988644415,no
M1,M1_dark_photon_massive,0.07071067811865475,0.07135242690016323,10.0,inf,False,8,0.4262462407193646,0.05320256382828701,0.39548377502383614,no
M1,M1_dark_photon_massive,0.07071067811865475,0.08485281374238567,10.0,0.005435111455217381,True,5,0.3551297035510226,0.0066504557220069226,0.37856230193353224,no
M1,M1_dark_photon_massive,0.07071067811865475,0.10090756983044573,10.0,0.002208653592004848,True,4,0.35754437838791403,0.0026612147877825695,0.3629788702309376,no
M1,M1_dark_photon_massive,0.07071067811865475,0.11999999999999998,10.0,0.00019785435805520045,True,2,0.3298824461766406,0.0006655063977228639,0.3487702684316665,no
M1,M1_dark_photon_massive,0.10323911847100017,0.014999999999999996,10.0,inf,False,4,0.7147178172638186,0.0026605821800051496,0.5785603721296028,no
M1,M1_dark_photon_massive,0.10323911847100017,0.01783810672504081,10.0,inf,False,4,0.6823717843515326,0.0026605965779767627,0.558657415800948,no
M1,M1_dark_photon_massive,0.10323911847100017,0.02121320343559642,10.0,inf,False,4,0.6666254536235967,0.0026607682717252556,0.5379682637603689,no
M1,M1_dark_photon_massive,0.10323911847100017,0.025226892457611432,10.0,inf,False,4,0.6300199492581816,0.002660699147245813,0.5167685061023886,no
M1,M1_dark_photon_massive,0.10323911847100017,0.029999999999999995,10.0,inf,False,4,0.5952964493962012,0.002660393689329142,0.4953604991813157,no
M1,M1_dark_photon_massive,0.10323911847100017,0.03567621345008163,10.0,inf,False,4,0.5616391805817946,0.002660516045660134,0.47405614661498824,no
M1,M1_dark_photon_massive,0.10323911847100017,0.042426406871192826,10.0,inf,False,4,0.5287653634310292,0.0026605324064951945,0.45315878316353,no
M1,M1_dark_photon_massive,0.10323911847100017,0.050453784915222843,10.0,inf,False,5,0.5170524753284905,0.0066508208851569885,0.43294635835480116,no
M1,M1_dark_photon_massive,0.10323911847100017,0.05999999999999997,10.0,inf,False,8,0.38374591590145407,0.05320741537818229,0.4136577988644415,no
M1,M1_dark_photon_massive,0.10323911847100017,0.07135242690016323,10.0,inf,False,8,0.3649027895848756,0.05320545996038977,0.39548377502383614,no
M1,M1_dark_photon_massive,0.10323911847100017,0.08485281374238567,10.0,0.007757877695213445,True,6,0.3416646344332446,0.013303111997560542,0.37856230193353224,no
M1,M1_dark_photon_massive,0.10323911847100017,0.10090756983044573,10.0,0.002603361397120411,True,4,0.3631310628268216,0.0026608713896402025,0.3629788702309376,no
M1,M1_dark_photon_massive,0.10323911847100017,0.11999999999999998,10.0,0.00024208081106597836,True,2,0.3397358954855902,0.0006652872817421365,0.3487702684316665,no
M1,M1_dark_photon_massive,0.15073134449063294,0.014999999999999996,10.0,inf,False,4,0.7146850030648245,0.0026604527066143454,0.5785603721296028,no
M1,M1_dark_photon_massive,0.15073134449063294,0.01783810672504081,10.0,inf,False,4,0.9928105755494488,0.0026608758834496212,0.558657415800948,no
