concentration_offset_sigma,profile_mass_chi2,M200_msun,c200_median,c200_candidate,tau_rt_over_rs,M2D_20pc_msun,M2D_90pc_msun,r200_pc,r_s_pc,rho_s_msun_pc3,r_t_pc
4.75,53.17116343712604,31270946.21100796,12.940574293867703,43.09764608691254,1.000000002361005,276548.5684164426,1236751.8613136886,4738.60415559013,109.95041692147316,0.6664627658526829,109.95041718106664
5.0,42.32124029096805,30493971.02181235,12.966025955988497,46.005196143347895,1.0000000112599146,291674.0949952507,1222337.5603859324,4699.02855917487,102.14125692526417,0.7930248663541333,102.141258075366
5.25,32.18009558895047,30414193.641477253,12.96867874970645,49.02253128763367,1.0,310418.21590463753,1227533.6535670157,4694.927162897487,95.77080251834772,0.9395811521169589,95.77080251834772
5.5,23.012411260424155,30090217.56975441,12.979529382401516,52.27077579820896,1.0,328578.09518051246,1221185.61233542,4678.197287195895,89.49928934010947,1.1155311788906297,89.49928934010947
5.75,15.000682171564778,29710802.299517415,12.992398058091336,55.7428690630655,1.0,347005.186779119,1209839.6586389276,4658.451195531694,83.5703521155556,1.325478466673073,83.5703521155556
6.0,8.36785288727496,29366528.44422096,13.004229093065815,59.44079533486542,1.0000000055020317,366362.3891562509,1196472.6709496723,4640.387981401456,78.06739387081525,1.5751735940757754,78.06739430034453
6.25,3.5125129327057243,29318376.85564975,13.005895743090207,63.33448862577872,1.0000000007350904,387963.22528578655,1191728.296290257,4637.850349838293,73.22788026665415,1.8686276495380227,73.22788032048327
6.5,0.6801436058827321,29111569.087825328,13.013087601958096,67.51190354481841,1.0,408905.73160642595,1178879.5979341802,4626.919690382118,68.53487233270639,2.2200411890724254,68.53487233270639
6.75,1.3073781756692186e-26,27101962.41620576,13.08598245790828,72.32797960611579,1.0595942068971218,425000.0000000011,1167000.000000004,4517.904047429753,62.464126221047316,2.674590379773514,66.18662628271234
7.0,8.140238852066381e-23,20843075.113025576,13.357097347568486,78.65242027082668,1.3512306018554512,425000.0000000241,1167000.000000349,4139.272529968909,52.62740187416998,3.3565055129035284,71.1117559085234
