model,sigma_low_dwarf,sigma_high_cluster,sigma_high_bullet
M1_dark_photon_massive,4897.504555827157,0.031201609295277453,0.0009494299780248816
M1_dark_photon_massive,9857.625548127351,0.06280214289251794,0.0019109987751620096
M1_dark_photon_massive,19841.284543875463,0.1264072347860983,0.0038464303879132385
M1_dark_photon_massive,39936.24736798994,0.2544306335790883,0.007742038834016573
M1_dark_photon_massive,80383.09466861578,0.512114258436223,0.015583062544370866
M1_dark_photon_massive,161793.91741455096,1.0307760901446656,0.0313653604002646
M1_dark_photon_massive,325656.4308734807,2.0747310400189605,0.06313173872191535
M1_dark_photon_massive,655476.5016136288,4.175988296172099,0.12707064045145056
M1_dark_photon_massive,1319333.5166611958,8.405368172255734,0.2557659268005663
M1_dark_photon_massive,2655535.2082043267,16.918202135750878,0.5148019171048858
M1_dark_photon_massive,5345022.432128285,34.05270984451252,1.0361857702082256
M1_dark_photon_massive,10758382.984977683,68.54079638309604,2.0856195649389213
M1_dark_photon_massive,21654315.939955913,137.9579126090042,4.1979045598955755
M1_dark_photon_massive,43585490.44797763,277.67966898218856,8.44948090737162
M1_dark_photon_massive,87728237.77293621,558.9095768981985,17.006991603880792
M1_dark_photon_massive,176578114.03845283,1124.9650228031749,34.23142398749408
M1_dark_photon_massive,355413845.6317589,2264.3131462409124,68.90050959654654
M1_dark_photon_massive,715371790.8621951,4557.576387098492,138.68193810453783
M1_dark_photon_massive,1439889878.9430022,9173.423101270813,279.13697691133916
M1_dark_photon_massive,2898189291.170825,18464.131864721956,561.8428249861078
M1_dark_photon_massive,5833433021.713511,37164.33459507705,1130.8690216582495
M1_dark_photon_massive,11741448677.105127,74803.8291761654,2276.196628795463
M1_dark_photon_massive,23633016188.56969,150564.05342336194,4581.495286998418
M1_dark_photon_massive,47568189371.578094,303053.1248592328,9221.566713195863
M1_dark_photon_massive,95744555922.77332,609980.897822292,18561.0346227453
M1_dark_photon_massive,192713241978.60394,1227760.6306845201,37359.37904930597
M1_dark_photon_massive,387890395187.1659,2471218.6424861085,75196.41180127789
M1_dark_photon_massive,780740114865.3776,4974032.744123754,151354.23799000122
M1_dark_photon_massive,1571462285540.4407,10011660.366371082,304643.5967991872
M1_dark_photon_massive,3163016307035.505,20151323.573408056,613182.1764837264
M1_dark_photon_massive,6366472966375.967,40560289.392576,1234204.1175582847
M1_dark_photon_massive,12814343682465.477,81639157.32961808,2484187.998635085
M1_dark_photon_massive,25792523565181.652,164322101.9697682,5000137.2745146435
M1_dark_photon_massive,51914814238262.36,330745123.7736706,10064203.18338521
M1_dark_photon_massive,104493378888741.05,665718948.2653248,20257080.98710023
M1_dark_photon_massive,210322744900405.5,1339949363.4946525,40773156.36824333
M1_dark_photon_massive,423334545144151.75,2697030483.221459,82067612.86524266
M1_dark_photon_massive,852081581558237.5,5428543514.849667,165184491.00607526
M1_dark_photon_massive,1715057346391500.8,10926492998.854391,332480927.8142428
M2_scalar_phi_massive,9.359217153568016e-10,7.0615818035443595e-15,2.1279933576329653e-16
M2_scalar_phi_massive,1.883809541610559e-09,1.421344858454212e-14,4.2831939101494414e-16
M2_scalar_phi_massive,3.791704296240311e-09,2.8608621451361395e-14,8.62115006427831e-16
M2_scalar_phi_massive,7.629082580509611e-09,5.758301488052705e-14,1.735252477238714e-15
M2_scalar_phi_massive,1.5354392503205137e-08,1.159022502488742e-13,3.492690809593462e-15
M2_scalar_phi_massive,3.090488157898456e-08,2.3328635432903486e-13,7.030036983915231e-15
M2_scalar_phi_massive,6.220511156953141e-08,4.695553623788267e-13,1.4149955632908738e-14
M2_scalar_phi_massive,1.2520553887026712e-07,9.451141665480242e-13,2.8480823766844263e-14
M2_scalar_phi_massive,2.52011836822925e-07,1.902311972936466e-12,5.732578557006348e-14
