model,sigma_low_dwarf,rdiss_eff_b1938,rdiss_eff_cluster
M2_scalar_phi_massive,6404485267.166743,1.0000000000000697,1.006850154675404
M2_scalar_phi_massive,12890854285.599548,1.0000000000000697,1.0068501546754045
M2_scalar_phi_massive,25946522988.26737,1.0000000000000697,1.006850154675404
M2_scalar_phi_massive,52224782024.93904,1.00000000000007,1.0068501546754043
M2_scalar_phi_massive,105117277516.74763,1.0000000000000697,1.0068501546754043
M2_scalar_phi_massive,211578518934.86987,1.0000000000000697,1.0068501546754043
M2_scalar_phi_massive,425862148756.0936,1.0000000000000697,1.0068501546754043
M2_scalar_phi_massive,857169105144.3004,1.0000000000000697,1.0068501546754045
M2_scalar_phi_massive,1725297439464.818,1.00000000000007,1.0068501546754043
M2_scalar_phi_massive,3472653455146.1436,1.0000000000000697,1.0068501546754043
M2_scalar_phi_massive,6989706089912.892,1.0000000000000695,1.0068501546754045
M2_scalar_phi_massive,14068778199265.975,1.0000000000000695,1.0068501546754043
M2_scalar_phi_massive,28317431015558.887,1.0000000000000697,1.0068501546754043
M2_scalar_phi_massive,56996911029756.625,1.0000000000000697,1.0068501546754045
M2_scalar_phi_massive,114722548989314.64,1.0000000000000697,1.006850154675404
M2_scalar_phi_massive,230911868885919.72,1.0000000000000697,1.0068501546754043
M2_scalar_phi_massive,464776032803759.44,1.0000000000000695,1.006850154675404
M2_scalar_phi_massive,935494401872955.0,1.0000000000000697,1.006850154675404
M3_massless_control,4.760459688931405e-09,1.0499999999999983,1.0499999999999998
M3_massless_control,9.581783644204279e-09,1.0499999999999998,1.0500000000000003
M3_massless_control,1.927636550805697e-08,1.0499999999999998,1.05
M3_massless_control,3.8808261461386456e-08,1.05,1.05
M3_massless_control,7.811270113163941e-08,1.0500000000000003,1.0500000000000003
M3_massless_control,1.57224637405657e-07,1.0499999999999987,1.0500000000000003
M3_massless_control,3.1645945089341455e-07,1.0500000000000005,1.05
M3_massless_control,6.369654076769499e-07,1.0499999999999998,1.05
M3_massless_control,1.282074638890567e-06,1.0500000000000007,1.0499999999999998
M3_massless_control,2.5805410839070246e-06,1.05,1.0500000000000056
M3_massless_control,5.1940753554680065e-06,1.05,1.0499999999999803
M3_massless_control,1.0454558916548577e-05,1.0500000000000005,1.0354842780885476
M3_massless_control,2.1042783298190537e-05,1.0499999999999998,1.0466917422689963
M3_massless_control,4.235460648977728e-05,1.05,1.0499999999999996
M3_massless_control,8.525073254250277e-05,1.05,1.049999999999999
M3_massless_control,0.00017159142774124183,1.05,1.0500000000000007
M3_massless_control,0.00034537671637878317,1.0500000000000003,1.05
M3_massless_control,0.000695169203886286,1.05,1.0499999999999994
M3_massless_control,0.0013992264073235613,1.05,1.05
M3_massless_control,0.002816342450163919,1.05,1.0499999999999994
M3_massless_control,0.005668692897075321,1.0499999999999998,1.0499999999999865
M3_massless_control,0.011409862163417626,1.0500000000000003,1.0500000000000003
M3_massless_control,0.022965603702990528,1.0500000000000003,1.05
M3_massless_control,0.04622483128094453,1.0500000000000005,1.0499999999999998
M3_massless_control,0.093040664403416,1.05,1.0500000000000003
M3_massless_control,0.18727088867055802,1.05,1.05
M3_massless_control,0.376936106038521,1.05,1.0499999999999998
M3_massless_control,0.7586914818641585,1.0500000000000005,1.05
M3_massless_control,1.527083119478096,1.05,1.05
M3_massless_control,3.073690570592818,1.05,1.0500000000000003
M3_massless_control,6.186679430377074,1.05,1.05
M3_massless_control,12.452457882534604,1.0500000000000003,1.0500000000000003
M3_massless_control,25.064125119352937,1.05,1.05
M3_massless_control,50.4487044987067,1.05,1.05
M3_massless_control,101.54241464557188,1.05,1.0499999999999998
M3_massless_control,204.38308722709755,1.0499999999999998,1.0499999999999998
M3_massless_control,411.37928904176454,1.05,1.05
M3_massless_control,828.0182169108084,1.0499999999999998,1.0500000000000003
M3_massless_control,1666.6229579354235,1.0500000000000003,1.0499999999999994
M3_massless_control,3354.554316788189,1.05,1.05
M3_massless_control,6751.997871325548,1.05,1.0499999999999998
M3_massless_control,13590.322573173973,1.0499999999999996,1.0500000000000005
M3_massless_control,27354.402528367875,1.05,1.0500000000000003
M3_massless_control,55058.54137421145,1.0499999999999998,1.0500000000000003
M3_massless_control,110821.0268936416,1.0500000000000005,1.05
M3_massless_control,223058.94226819449,1.0500000000000003,1.0499999999999998
M3_massless_control,448969.77694997744,1.05,1.0499999999999998
M3_massless_control,903679.8012435234,1.05,1.0500000000000003
M3_massless_control,1818913.4883939438,1.05,1.05
M3_massless_control,3661082.469375541,1.0500000000000003,1.0500000000000005
M3_massless_control,7368973.254139671,1.05,1.05
M3_massless_control,14832161.60096165,1.05,1.0499999999999998
M3_massless_control,29853957.962658614,1.0499999999999998,1.0500000000000003
M3_massless_control,60089609.998478144,1.0499999999999998,1.0500000000000005
M3_massless_control,120947488.24546352,1.0500000000000003,1.05
M3_massless_control,243441335.5862503,1.0500000000000005,1.0499999999999998
M3_massless_control,489995160.1453835,1.0500000000000003,1.0499999999999998
M3_massless_control,986255092.5778723,1.0499999999999998,1.0500000000000003
M3_massless_control,1985119827.1982772,1.0500000000000003,1.0499999999999998
M3_massless_control,3995620157.4944367,1.0500000000000003,1.05
M3_massless_control,8042325820.45606,1.05,1.05
M3_massless_control,16187475799.234253,1.05,1.0500000000000005
